Kategori,2023
Net Üretim,282747
İthalat (+),6094
İhracat (-),-2076
Elektrik Arzı,286765
Çevrim ve Enerji Sektörü,282747
Elektrik Santralları Brüt Üretimi,331149
Petrol Rafinerileri Tüketimi,-2607
İç Tüketim ve Kayıp,-45796
Nihai Tüketim,286765
Sanayi Tüketimi,127665
Gıda,8794
Şeker,832
Tekstil,17290
Kağıt,4389
Seramik,2732
Cam ve Cam Ürünleri,2424
Kimya-Petrokimya,16662
Gübre,659
Çimento,10900
Demirçelik,27155
Demirdışı Metaller,4745
Motorlu Kara Taşıt Sanayi,3433
Diğer Sanayi,27645
Ulaştırma,1733
Demiryolları,1567
Boru Hatları,166
Diğer Sektörler,157366
"Konut, Ticarethane ve Hizmetler",144065
Tarım ve Hayvancılık,13301