Kategori,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Üretim,41,41,41,60,63,81,88,96,106,117,136,157,199,206,257,279,316,359,377,372,395,429,458,487,541,585,633,678,763,878,1012,1191,1347,1544,1756,1961,2170,2395,2585,3059,3406,3780,4236,4728,5269,5870,6687,7307,8289,9427,10365,11184,13210,15547,17255,18078,18361,18736,20127,21422,21809,24509,26966,30789,35278,38437,41611,46401,47574,52589,57955,60270,66419,72554,77687,82585,87299,92786,91298,98144,110177,120985,130578,143878,155660,160311,156484,171752,184060,190906,190680,201108,211876,224540,247744,257119,255519,260677,286123,281210,282747
İthalat (+),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),96,332,492,621,1044,1341,1616,1773,2221,2653,2142,777,572,381,559,176,759,189,213,31,0,270,2492,3299,2330,3791,4579,3588,1158,464,636,573,864,789,812,1144,4556,5827,7429,7953,7136,6330,2728,2476,2212,1889,2334,6439,6094
İhracat (-),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),-907,-506,-314,-589,-570,-696,-343,-271,-298,-285,-437,-433,-435,-588,-1144,-1798,-2236,-2422,-1122,-1546,-1918,-3645,-2954,-1227,-2696,-3195,-1452,-3304,-3111,-2789,-2483,-4186,-3713,-2076
Elektrik Arzı,41,41,41,60,63,81,88,96,106,117,136,157,199,206,257,279,316,359,377,372,395,429,458,487,541,585,633,678,763,878,1012,1191,1347,1544,1756,1961,2170,2395,2585,3059,3406,3780,4236,4728,5269,5870,6687,7307,8289,9427,10365,11184,13306,15879,17747,18699,19405,20077,21743,23195,24030,27162,29108,31566,35850,38818,42170,45670,47827,52464,57579,59731,65723,72481,79908,85586,89344,96140,95444,101297,110747,120305,129416,142215,154102,159978,155750,170978,184971,193779,196882,206365,215817,229418,247168,256484,254942,260083,284271,283936,286765
Çevrim ve Enerji Sektörü,41,41,41,60,63,81,88,96,106,117,136,157,199,206,257,279,316,359,377,372,395,429,458,487,541,585,633,678,763,878,1012,1191,1347,1544,1756,1961,2170,2395,2585,3059,3406,3780,4236,4728,5269,5870,6687,7307,8289,9427,10365,11184,13210,15547,17255,18078,18361,18736,20127,21422,21809,24509,26966,30789,35278,38437,41611,46401,47574,52589,57955,60270,66419,72554,77687,82585,87299,92786,91298,98144,110177,120985,130578,143878,155660,160311,156484,171752,184060,190906,190680,201108,211876,224540,247744,257119,255519,260677,286123,281210,282747
Elektrik Santralları Brüt Üretimi,44,44,45,65,70,89,97,106,117,131,151,175,222,231,289,312,353,396,415,408,457,496,527,562,625,676,736,789,887,1019,1200,1402,1579,1818,2056,2303,2587,2814,3010,3559,3983,4450,4952,5550,6216,6935,7838,8623,9781,11242,12425,13477,15623,18283,20565,21726,22522,23275,24673,26552,27347,30614,34219,39695,44353,48049,52043,57543,60246,67342,73808,78322,86247,94861,103295,111022,116439,124921,122724,129399,140580,150698,161956,176299,191558,198417,194812,211208,229396,239496,240153,251963,261784,274407,297277,304802,303898,306703,334723,328379,331149
Petrol Rafinerileri Tüketimi,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),-100,-165,-175,-186,-200,-222,-235,-258,-321,-287,-392,-435,-474,-600,-644,-847,-903,-950,-1150,-1456,-1521,-1658,-1670,-1670,-1675,-1976,-2119,-1857,-2156,-1625,-1650,-1018,-837,-847,-855,-1033,-1969,-1143,-1072,-1128,-1143,-1162,-1009,-1495,-1784,-1854,-1748,-2331,-2618,-2420,-2640,-2607
İç Tüketim ve Kayıp,-3,-3,-3,-5,-6,-8,-8,-9,-11,-14,-15,-17,-23,-24,-32,-32,-36,-37,-37,-35,-61,-66,-68,-75,-84,-90,-102,-110,-123,-141,-188,-210,-232,-274,-299,-341,-416,-419,-425,-500,-576,-670,-715,-821,-947,-1065,-1151,-1315,-1491,-1715,-1895,-2118,-2227,-2536,-3088,-3413,-3903,-4218,-4259,-4738,-5103,-5631,-6653,-8262,-8228,-8709,-9482,-9992,-11216,-13232,-14195,-16382,-18157,-20632,-23632,-26318,-27283,-29979,-29801,-29604,-29384,-28875,-30531,-31566,-34864,-36137,-37185,-38383,-44207,-47447,-48311,-49845,-48412,-48082,-47679,-45935,-46047,-43406,-46179,-44528,-45796
Nihai Tüketim,41,41,41,60,63,81,88,96,106,117,136,157,199,206,257,279,316,359,377,372,395,429,458,487,541,585,633,678,763,878,1012,1191,1347,1544,1756,1961,2170,2395,2585,3059,3406,3780,4236,4728,5269,5870,6687,7307,8289,9427,10365,11184,13306,15879,17747,18699,19405,20077,21743,23195,24030,27162,29108,31566,35850,38818,42170,45670,47827,52464,57579,59731,65723,72481,79908,85585,89344,96139,95445,101297,110748,120304,129416,142215,154102,159978,155751,170978,184971,193779,196882,206366,215817,229419,247168,256484,254942,260083,284271,283936,286765
Sanayi Tüketimi,(33),(33),(33),(48),(50),(64),(70),(76),(84),(93),(107),(124),(157),(162),(201),(218),(246),276,(293),(291),(311),(340),365,(382),(418),(447),(479),508,571,656,751,883,992,1142,1295,1446,1592,1751,1859,2246,2497,2799,3079,3469,3834,4272,4865,4690,5345,6092,6920,7404,8559,10305,11761,12171,12280,12687,13919,14806,15141,17553,19008,20242,23026,24355,26653,28062,27056,30015,32589,32468,36336,38962,41515,44019,44623,46686,45364,48642,54081,58042,58721,67172,73702,72881,69326,78258,86851,91158,92089,96768,102039,106513,114628,115963,113344,117408,134968,130698,127665
Gıda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5726,5805,5935,6055,5736,5997,6116,6477,6334,7403,8387,8560,8794
Şeker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,164,176,192,219,279,307,283,283,273,357,369,326,387,436,482,394,377,380,400,400,550,300,357,340,(347),(354),(362),(369),(377),(384),(392),(399),(406),(414),(421),429,502,573,545,531,622,547,551,626,627,593,657,685,728,712,832
Tekstil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13642,14514,14626,15621,15520,15919,17022,18076,17506,17298,20286,19818,17290
Kağıt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2534,2658,2667,3211,3269,3397,3506,3439,3599,3729,4257,4489,4389
Seramik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882,1997,1955,2042,2287,2116,2285,2272,2088,2225,2741,3053,2732
Cam ve Cam Ürünleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982,943,1330,1573,1694,1961,2168,2033,1883,1851,2038,2496,2424
Kimya-Petrokimya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,573,690,587,932,1227,1348,1378,1439,1577,1826,1698,1987,2198,2477,3138,3670,4095,4042,3225,3500,4795,4138,4377,5244,6188,6622,6147,6381,(5915),5449,5737,3730,4913,4108,4594,5845,5546,7417,8151,8562,9200,9464,4074,11001,5195,12701,5644,13676,16177,16413,16662
Gübre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,335,381,434,459,464,471,475,420,477,428,459,482,581,675,826,973,1123,1153,1000,411,442,380,380,401,830,747,359,500,487,511,498,506,508,511,195,111,133,136,257,222,228,248,300,357,397,444,546,631,661,771,659
Çimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037,1209,1257,1475,1778,1972,2134,1972,2002,2286,2358,2168,2596,2837,3118,3380,3586,3795,3992,4256,4733,4900,4267,2883,2718,4549,2817,2483,3997,3223,3285,3438,3878,4323,4594,5475,6349,6537,7267,7151,7321,7383,7313,7989,8874,8500,8624,7574,9055,9822,10438,10900
Demirçelik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,836,900,1023,1229,1312,1478,1647,1824,1810,2021,2229,2574,2831,2325,3849,3825,3834,4839,4997,5982,6734,6524,6954,7964,8662,8703,7735,8395,(8234),8074,9582,10940,11661,13398,15477,16014,16000,16575,20050,20481,20232,20683,20691,22644,25509,25502,24250,25214,28808,26885,27155
Demirdışı Metaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,233,379,659,1050,1664,1392,1359,1519,1744,1711,1574,1936,1935,3007,2310,2376,2584,2553,2424,2631,2673,2100,2162,1957,(2054),(2152),(2250),(2348),(2446),2544,3081,2697,2485,2785,3036,2471,1924,2307,2478,2406,2277,2417,2974,3140,3753,3590,3807,4465,5305,5027,4745
Motorlu Kara Taşıt Sanayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437,1441,1410,1798,2320,1838,2185,2195,2308,2208,2506,2953,3433
Diğer Sanayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2826,3570,3621,4189,4638,4843,5041,5166,5200,5752,6105,6644,7652,8239,8204,9041,9531,10845,11103,10754,12358,12494,14759,19223,20337,21284,25129,27898,27411,41654,28777,31743,36290,34830,41775,44924,41659,38682,43981,22010,24270,24218,25789,34631,28638,37362,30013,37143,28962,33247,29076,27645
Ulaştırma,(2),(2),(2),(3),(3),(4),(4),(5),(5),(5),(6),(7),(8),(8),(10),(11),(12),17,(17),(16),(15),(16),16,(16),(16),(17),(17),17,17,17,16,17,19,33,36,38,41,38,41,43,52,54,53,55,57,60,75,80,83,108,117,123,153,174,151,159,153,149,155,186,201,184,213,242,300,354,360,345,395,438,478,490,490,539,604,651,664,720,820,830,890,731,749,790,936,545,555,590,657,798,826,916,1063,1156,1292,1190,1577,1435,1571,1789,1733
Demiryolları,(2),(2),(2),(3),(3),(4),(4),(5),(5),(5),(6),(7),(8),(8),(10),(11),(12),(17),(17),(16),(15),(16),(16),(16),(16),(17),(17),(17),(17),(17),(16),(17),(19),(33),(36),(38),(41),(38),(41),(43),(52),(54),(53),(55),(57),(60),(75),(80),(83),(108),(117),(123),(153),(174),(151),(159),(153),(149),(155),(186),(201),(184),(213),(242),(300),354,360,345,395,438,478,490,490,539,604,651,664,720,820,830,890,731,749,790,936,335,347,201,447,597,661,740,803,882,983,1023,1287,1151,1297,1523,1567
Boru Hatları,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),209,209,(389),209,201,165,177,260,273,309,167,290,284,273,266,166
Diğer Sektörler,(5),(5),(5),(8),(8),(11),(13),(14),(16),(18),(21),(25),(33),(35),(45),(49),(57),(64),(66),(64),(67),(72),(76),(88),(105),(120),(136),(151),(174),(204),(244),(290),(334),(368),(424),(476),(536),(605),(684),(769),(856),(926),(1103),(1204),(1376),(1536),(1746),(2538),(2861),3227,3328,3657,4594,5400,5835,6369,6972,7241,7669,8203,8688,9425,9887,11082,12524,14109,15157,17263,20376,22011,24512,26773,28897,32980,37789,40914,44057,48733,49261,51825,55777,61531,69946,74253,79371,86551,85868,92129,97462,101822,103967,108680,112716,121750,131248,139329,140020,141239,147731,151448,157366
"Konut, Ticarethane ve Hizmetler",(5),(5),(5),(8),(8),(11),(13),(14),(16),(18),(21),(25),(33),(35),(45),(49),(57),64,(66),(64),(67),(72),76,(88),(105),(120),(136),151,174,204,244,290,334,368,424,476,536,605,684,769,856,926,1103,1204,1376,1536,1746,2502,2820,3180,3274,3600,4519,5295,5706,6238,6823,7081,7500,8015,8464,9165,9576,10756,12126,13684,14693,16688,19664,21152,23523,25579,27384,31155,35777,38566,41433,45663,46057,48335,52119,57636,65833,69812,74390,80745,80989,86544,92315,95972,99052,103519,107835,114945,124450,130051,139449,129689,133959,138020,144065
Tarım ve Hayvancılık,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),36,41,47,54,57,75,105,129,131,149,160,169,188,224,260,311,326,398,425,464,575,712,859,989,1194,1513,1825,2012,2348,2624,3070,3203,3490,3657,3895,4113,4441,4981,5806,4878,5585,5146,5849,4914,5161,4881,6805,6798,9278,9571,11550,13772,13427,13301